X	Y	nZxy
-1350	5430	-521.340606732387
-1350	5490	-519.177629084453
-1350	5550	-577.01465143652
-1350	5610	-574.851673788587
-1350	5670	-632.688696140653
-1350	569.999	83.458167735374
-1350	570	83.4582037850014
-1350	5730	-630.52571849272
-1350	5790	-688.362740844786
-1350	5850	-686.199763196853
-1350	5910	-684.036785548919
-1350	5970	-681.873807900986
-1350	6030	-739.710830253052
-1350	6090	-737.547852605119
-1350	6150	-735.384874957185
-1350	6210	-733.221897309252
-1350	6270	-671.059919661318
-1350	630	85.6211814329349
-1350	6330	-608.896942013385
-1350	690	87.7841590808682
-1350	750	89.9471367288018
-1350	810	92.1101143767353
-1350	870	94.2730920246688
-1350	90	66.1543826015336
-1350	90.0002	66.1543898114589
-1350	929.999	156.436033622975
-1350	930	156.436069672602
-1350	990	158.599047320536
-1410	-1050	201.711601894787
-1410	-1110	199.548624246853
-1410	-1170	197.38564659892
-1410	-1230	255.222668950987
-1410	-1290	253.059691303053
-1410	-1350	310.89671365512
-1410	-1410	308.733736007186
-1410	-1470	366.570758359253
-1410	-150	174.156266613789
-1410	-1530	424.407780711319
-1410	-1590	482.244803063386
-1410	-1650	540.081825415452
-1410	-1710	597.918847767519
-1410	-1770	595.755870119585
-1410	-1830	653.592892471652
-1410	-1890	711.429914823718
-1410	-1950	769.266937175785
-1410	-2010	827.103959527851
-1410	-2070	884.940981879918
-1410	-210	171.993288965856
-1410	-2130	942.778004231984
-1410	-2190	940.615026584051
-1410	-2250	998.452048936118
-1410	-2310	1056.28907128818
-1410	-2370	1114.12609364025
-1410	-2430	1171.96311599232
-1410	-2490	1229.80013834438
-1410	-270	169.830311317922
-1410	-29.9998	118.482229119582
-1410	-30	118.482221909656
-1410	-30.0005	178.482203884842
-1410	-330	167.667333669989
-1410	-390	165.504356022055
-1410	-450	163.341378374122
-1410	-510	161.178400726188
-1410	-570	159.015423078255
-1410	-630	156.852445430321
-1410	-690	154.689467782388
-1410	-750	152.526490134454
-1410	-810	150.363512486521
-1410	-870	148.200534838587
-1410	-89.9998	116.319251471648
-1410	-90	116.319244261723
-1410	-90.0005	176.319226236909
-1410	-929.999	206.037593240281
-1410	-930	206.037557190654
-1410	-990	203.874579542721
-1410	1050	157.415819572459
-1410	1110	159.578797220392
-1410	1170	161.741774868326
